Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Actors,Production Company,director_movie_nominated
Three Smart Girls,Universal,Nominee,1936,84,"Comedy,Musical,Romance",6.7,"1,344",NR,Henry Koster,"Deanna Durbin, Ray Milland, Binnie Barnes, Nan Grey, Alice Brady, Charles Winninger, Mischa Auer, Barbara Read, Ernest Cossart, Hobart Cavanaugh, John ""Dusty"" King, Lucile Watson, Nella Walker, Dennis O'Keefe, Gladden James, Wade Boteler, John Hamilton, Lane Chandler, Charles Coleman, Franklin Pangborn, Selmar Jackson, Albert Conti, Selmer Jackson",Universal Pictures,2
The Robe,Frank Ross,Nominee,1953,135,"Drama,History",6.8,"9,876",G,Henry Koster,"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie, Jay Robinson, Dean Jagger, Torin Thatcher, Richard Boone, Betta St John, Jeff Morrow, Ernest Thesiger, Dawn Addams, Leon Askin, Frank Pulaski, David Leonard, Michael Ansara, Helen Beverly, Nicholas Koster, Francis Pierlot, Frank de Kova, Thomas Browne Henry, Anthony Eustrel, Pamela Robinson, Jay Novello, Tom Browne Henry, Emmett Lynn, Sally Corner, Rosalind Ivan, George E. Stone, Marc Snow, Anne Bancroft, Mae Marsh, George Keymas, John Doucette, Ford Rainey, Sam Gilman, Harry Shearer, Virginia Lee, Anthony Jochim, Leo Curley, Jean Corbett, Joan Corbett, Gloria Saunders, Percy Helton, George H. Melford, Ed Mundy, Roy Gordon, A. Ben Astar, Alex Pope, George Robotham, Hayden Rorke, Dan Ferniel, Van Des Autels, Cameron Mitchell, Bella St. John",20th Century Fox,2
The Life of Emile Zola,Warner Bros.,Winner,1937,116,"Biography,Drama",7.2,"7,771",G,"Irving Rapper, William Dieterle","Paul Muni, Joseph Schildkraut, Gale Sondergaard, Gloria Holden, Donald Crisp, Erin O'Brien-Moore, John Litel, Henry O'Neill, Morris Carnovsky, Louis Calhern, Ralph Morgan, Robert H. Barrat, Vladimir Sokoloff, Harry Davenport, Robert Warwick, Charles Richman, Dickie Moore, Rolla Gourvitch, Gilbert Emery, Walter Kingsford, Paul Everton, Montagu Love, Frank Sheridan, Lumsden Hare, Marcia Mae Jones, Florence Roberts, Grant Mitchell, Moroni Olsen, Egon Brecher, Frank Reicher, Walter O. Stahl, Frank Darien, Iphigenie Castiglioni, Arthur Ayleswofth, Frank Mayo, Alexander Leftwich, Paul Irving, Pierre Watkin, Holmes Herbert, Robert Cummings Sr., Harry Worth, William Von Brincken",MGM,1
The Awful Truth,Columbia,Nominee,1937,90,"Comedy,Romance",7.7,"18,721",NR,Leo McCarey,"Cary Grant, Irene Dunne, Ralph Bellamy, Alex D'Arcy, Cecil Cunningham, Molly Lamont, Esther Dale, Joyce Compton, Robert (Tex) Allen, Robert Warwick, Mary Forbes, Claud Allister, Zita Moulton, Marguerite Churchill, Colton Scott, Wyn Cahoon, Paul Stanton, Mitchell Harris, Alan Bridge, Edgar Dearing, Leonard Carey, Miki Morita, Frank C. Wilson, Vernon Dent, Al Bridge, Bobby Watson, Byron Foulger, Kathryn Curry, Frank Wilson, Edward Peil Sr., Bess Flowers, John Tyrrell, Edmund Mortimer, George C. Pearce",Columbia Pictures,3
Love Affair,RKO Radio,Nominee,1939,88,"Comedy,Drama,Romance",7.3,"4,857",G,Leo McCarey,"Irene Dunne, Charles Boyer, Maria Ouspenskaya, Astrid Allwyn, Maurice Moscovich, Lee Bowman, Scotty Beckett, Joan Leslie, Frank McGlynn Sr., Dell Henderson, Carol Hughes, Carolyn Hughes, Ferike Boros, Oscar O'Shea, Tom Dugan, Lloyd Ingraham, Leyland Hodgson, Bill Lee Brown, Phyllis Kennedy, Bess Flowers, Gerald Mohr, Harold Miller",Madacy Entertainment,3
Going My Way,Paramount,Winner,1944,126,"Comedy,Drama,Music",7.1,"11,187",G,Leo McCarey,"Bing Crosby, Barry Fitzgerald, Rise Stevens, Jean Heather, Frank McHugh, James Brown (II), Gene Lockhart, Stanley Clements, Carl ""Alfalfa"" Switzer, William Frawley, Eily Malyon, Porter Hall, Fortunio Bonanova, Thomas P. Dillon, George Nokes, Tom Dillon, Hugh Maguire, Sybil Lewis, George McKay, Jack Norton, Anita Bolster, Jimmie Dundee, Adeline de Walt Reynolds, Gibson Gowland, Julie Gibson, William Henry, Robert Tafur, Martin Garralaga",Paramount Pictures,3
Captains Courageous,Metro-Goldwyn-Mayer,Nominee,1937,117,"Adventure,Drama,Family",8.0,"9,243",PG,Victor Fleming,"Freddie Bartholomew, Spencer Tracy, Lionel Barrymore, Melvyn Douglas, Mickey Rooney, John Carradine, Charley Grapewin, Christian Rub, Sam McDaniel, Oscar O'Shea, Jack LaRue, Walter Kingsford, Donald Briggs, Betty Alden, Billy Burrud, David Thursby, William Stack, Leo G Carroll, Charles Trowbridge, Richard Powell, Jay Ward, Kenneth Wilson, Roger Gray, Sherry Hall, Gladden James, Tommy Bupp, Wally Albright, Katherine Kenworthy, Philo McCullough, James Kilgannon, Bill Fisher, Mira McKinney, Dick Howard, Larry Fisher, Gil Perkins, Gene Reynolds, Jack Sterling, Harold Kreuger, Dave Wengren, Lee Van Atta, Murray Kinnell, Goldie Sloan, Gertrude Sutton, Bobby Watson, Don Brodie, David Kerman, Reggie Streeter, William Arnold, Frank Sully, Billy Gilbert, Lester Dorr, Jimmy Conlin, Lloyd Ingraham, Art Berry Sr., Edward Peil Sr., Jack Kennedy, Monte Vandergrift, Charles Coleman, Wade Boteler, Norman Ainsley, Myra Marsh",MGM,1
The Good Earth,Metro-Goldwyn-Mayer,Nominee,1937,138,"Drama,Romance",7.5,"4,753",NR,"Sidney Franklin, Victor Fleming","Paul Muni, Luise Rainer, Walter Connolly, Tilly Losch, Charley Grapewin, Jessie Ralph, Soo Yong, Keye Luke, Roland Got, Ching Wah Lee, Harold Huber, Olaf Hytten, William Law, Mary Wong, Maly Wong, Suzanna Kim, Caroline Chew, Chester Gan, Miki Morita, Philip Ahn, Lotus Liu, Sammee Tong, Richard Loo, Peach Seller, Charles B. Middleton",Warner Brothers Pictures,1
Stage Door,RKO Radio,Nominee,1937,92,"Comedy,Drama",7.8,"8,040",NR,Gregory La Cava,"Katharine Hepburn, Ginger Rogers, Adolphe Menjou, Constance Collier, Gail Patrick, Lucille Ball, Eve Arden, Ann Miller, Samuel S. Hinds, Franklin Pangborn, William Corson, Pierre Watkin, Grady Sutton, Frank Reicher, Phyllis Kennedy, Margaret Early, Andrea Leeds, Elizabeth Dunne, Jack Carson, Fred Santley, Jane Rhodes, Jean Rouverol, Norma Drury, Peggy O'Donnell, Harriet Brandon, Katherine Alexander, Huntly Gordon, Ralph Forbes, Adele Pearce, Mary Forbes, Huntley Gordon, Lynton Brent, Theodore von Eltz, Jack Rice, Whitey, Harry Strang, Bob Perry, Larry Steers, Mary Bovard, Frances Gifford, Josephine Whittell, Ada Leonard, Mary Jane Shower, Diana Gibson, Lynda Grey, Alison Craig, Lynn Gabriel, Jack Gardner, Ben Hendricks Jr., Linda Gray, Jack Gargan, Theodore Kosloff, Gerda Mora, Julie Kingdon, Al Hill, Byron Stevens, D'Arcy Corrigan, Philip Morris",Warner Brothers Pictures,1
A Star Is Born,Selznick International Pictures,Nominee,1937,111,"Drama,Romance",7.3,"9,301",PG,"William Wellman, Jack Conway","Janet Gaynor, Fredric March, Adolphe Menjou, Andy Devine, May Robson, Lionel Stander, Owen Moore, Elizabeth Jenns, J.C. Nugent, Clara Blandick, A.W. Sweatt, Peggy Wood, Franklin Pangborn, Edgar Kennedy, Adrian Rosley, Arthur Hoyt, Guinn 'Big Boy' Williams, Vince Barnett, Paul Stanton, Robert Emmett O'Connor, Olin Howland, Irving Bacon, Jonathan Hale, Francis Ford, Ken Howell, Eddie Kane, Kenneth Howell, Chris-Pin Martin, Ursula Kent, Claude King, Robert E. Homans, Lee Phelps, David Newell, Wade Boteler, Marshall Neilan, Leonard Walker, Fred 'Snowflake' Toones, Gayne Whitman, Jed Prouty, Clarence Wilson, George Chandler, Trixie Friganza, Jane Barnes, Pat Flaherty, Charles Williams, Carlton Elliott Griffin, Billy Dooley, Helene Chadwick, Harry Hayden, Carole Landis, Edwin Maxwell, Ferdinand Munier, Robert E. O'Connor, Lana Turner, Dennis O'Keefe, Billy Coe, I. Stanford Jolley",Image Entertainment Inc.,1
The Adventures of Robin Hood,Warner Bros.-First National,Nominee,1938,102,"Action,Adventure,Romance",7.9,"49,004",PG,"Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",Warner Brothers Pictures,1
Alexander's Ragtime Band,20th Century-Fox,Nominee,1938,106,"Drama,Music,Musical",6.9,"2,042",NR,Henry King,"Tyrone Power, Alice Faye, Don Ameche, Ethel Merman, Jack Haley, Jean Hersholt, Helen Westley, John Carradine, Paul Hurst, Wally Vernon, Ruth Terry, Douglas Fowley, Chick Chandler, Eddie Collins, Joseph Crehan, Robert Gleckler, Dixie Dunbar, Joe King, Charles Coleman, Stanley Andrews, Charles Williams, Jane Jones, Otto H. Fries, Mel Kalish, Grady Sutton, Selmer Jackson, Tyler Brooke, Selmar Jackson, Don Douglas, James Flavin, Jack Pennick, Harold Goodwin, Edward Keane, Ralph Dunn, Paul McVey, Charles Tannen, Robert Lowery, Eleanor Wesselhoeft, Cully Richards, Arthur Rankin, Cecil Weston, Kay Griffith, Sam Ash, A.S. Byron, Creighton Chaney, Edwin Stanley, Lynne Barkley",20th Century Fox,3
The Song of Bernadette,20th Century-Fox,Nominee,1943,156,"Biography,Drama",7.6,"6,554",NR,Henry King,"Jennifer Jones, Vincent Price, Charles Bickford, William Eythe, Lee J. Cobb, Gladys Cooper, Anne Revere, Roman Bohnen, Mary Anderson, Aubrey Mather, Patricia Morison, Charles Dingle, Edith Barrett, Sig Rumann, Blanche Yurka, Fortunio Bonanova, Ermadean Walters, Marcel Dalio, Pedro de Cordoba, Jerome Cowan, Charles Waldron, Moroni Olsen, Nana Bryant, Manart Kippen, Merrill Rodin, Nino Pipitone Jr., John Maxwell Hayes, Jean Del Val, Tala Birell, Charley Bates, Eula Morgan, Frank Reicher, Charles La Torre, Linda Darnell, Nestor Paiva, Dorothy Shearer, Nino Pipitone, Edwin Stanley, Lionel Braham, Ian Wolfe, André Charlot, Irina Semochenko, Marie Carrozza, Joyce Ann Miller, Alicia Nicolas Diaz, Ruth Robinson, Alan Napier, Eugene Borden, Edward Clark, Frank Leigh, Charles Bates, Claudine LeDuc, Margaret Hoffman, Connie Leon, Edythe Elliott, Elvira Curci, Adrienne D'Ambricourt, Belle Mitchell, Mae Marsh, Fernanda Eliscu, Ruth Warren, Lucille Ward, Minerva Urecal, Cecil Weston, Marie Pope, Marjorie Copley, Alex Papana, Alphonse Martell, Muni Seroff, Frank Lackteen, Steve Roberts, Frank Dae, Louis Pacigalupi, Harry Denny, Curt Furberg, Armand Cortez, Louis V. Arco, George Sorel, Jean De Briac, Davison Clark, Antonio Filauri, Julian Rivero, Charles Wagenheim, Edward Keane, Hooper Atchley, Edward Van Sloan, Edward Fielding, John Dilson, Tom Stevenson, Fred Essler, Harry Cording, Alla Nazimova, Pat Dillon, Louis Mercier, Dickie Moore, Fritz Leiber, Arthur Hohl, Geraldine Wall",20th Century Fox,3
Twelve O'Clock High,20th Century-Fox,Nominee,1949,132,"Drama,War",7.7,"13,989",NR,Henry King,"Gregory Peck, Hugh Marlowe, Dean Jagger, Gary Merrill, Millard Mitchell, Robert Arthur, Paul Stewart, John Kellogg, Robert Patten, Lee MacGregor, Sam Edwards, Roger Anderson, John Zilly, William Short, Richard Anderson, Lawrence Dobkin, Kenneth Tobey, Campbell Copelin, Don Guadagno, Peter Ortiz, Steve Clark, Joyce Mackenzie, Patrick Whyte, Don Hicks, Ray Hyke, Harry Lauter, John R. McKee, Leslie Denison, Russ Conway",20th Century Fox,3
Boys Town,Metro-Goldwyn-Mayer,Nominee,1938,96,"Biography,Drama",7.3,"5,449",G,Norman Taurog,"Spencer Tracy, Mickey Rooney, Henry Hull, Leslie Fenton, Addison Richards, Edward Norris, Gene Reynolds, Minor Watson, Jonathan Hale, Bobs Watson, Martin Spellman, Mickey Rentschler, Frankie Thomas, Jimmy Butler, Sidney Miller, Robert Emmett Keane, Victor Kilian, John Hamilton, Arthur Ayleswofth, John Wray, Barbara Bedford, Orville Caldwell, Roger Converse, Donald Haines, George Humbert, Gladden James, Tommy Noonan, Jay Novello, Kane Richmond, William Worthington, Walter Young, Al Hill, John Walsh",MGM,1
"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer,Nominee,1939,114,"Drama,Romance",7.9,"10,164",NR,Sam Wood,"Robert Donat, Greer Garson, John Mills, Terry Kilburn, Paul Henreid, Paul Von Hernried, Judith Furse, Lyn Harding, Milton Rosmer, Frederick Leister, Louise Hampton, Austin Trevor, David Tree, Edmund Breon, Jill Furse, Guy Middleton, Nigel Stock, Scott Sunderland, Ronald Ward, Patrick Ludlow, Simon Lack, Caven Watson, Cyril Raymond, John Longden",MGM,6
Kitty Foyle,RKO Radio,Nominee,1940,108,"Drama,Romance",6.9,"3,495",NR,Sam Wood,"Ginger Rogers, Dennis Morgan, James Craig, Eduardo Ciannelli, Ernest Cossart, Gladys Cooper, Odette Myrtil, Mary Treen, K.T. Stevens, Walter Kingsford, Cecil Cunningham, Nella Walker, Edward Fielding, Kay Linaker, Richard Nichols, Florence Bates, Heather Angel, Tyler Brooke, Hattie Noel, Frank Milan, Renee Godfrey, Charles Quigley, Harriet Brandon, Howard Entwistle, Billy Elmer, Walter Sande, Ray Teal, Joey Ray, Mel Ruick, Doodles Weaver, Theodore von Eltz, Max Davidson, Charles Miller, Mary Gordon, Fay Helm, Helen Lynd, Dorothy Vaughan, Mimi Doyle, Hilda Plowright, Spencer Charters, Gino Corrado, Frank Mills, Joseph E. Bernard, Tom Herbert, Julie Carter, Jane Patten, Renee Haal, Mary Currier, Patricia Maier, Brooks Benedict, Tom Quinn",Media Home Entertainment,6
Our Town,Sol Lesser (production company),Nominee,1940,90,"Drama,Romance",6.6,"2,525",NR,Sam Wood,"William Holden, Martha Scott, Beulah Bondi, Guy Kibbee, Frank Craven, Fay Bainter, Thomas Mitchell, Stuart Erwin, Philip Wood, Doro Merande, Ruth Tobey, Douglas Gardiner, Arthur Allen, Spencer Charters, Tim Davis, Dix Davis, Dan White, Charles Trowbridge",United Artists,6
Kings Row,Warner Bros.,Nominee,1942,127,"Drama,Mystery,Romance",7.5,"4,285",NR,Sam Wood,"Ronald Reagan, Ann Sheridan, Robert Cummings, Charles Coburn, Betty Field, Claude Rains, Judith Anderson, Nancy Coleman, Kaaren Verne, Maria Ouspenskaya, Harry Davenport, Ernest Cossart, Pat Moriarity, Ilka Gruning, Minor Watson, Ludwig Stossel, Ann E. Todd, Erwin Kalser, Egon Brecher, Ann Todd, Douglas Wheat, Scotty Beckett, Mary Thomas, Joan Duval, Danny Jackson, Henry Blair, Dan Jackson, Leah Baird, Eden Gray, Julie Warren, Mary Scott, Bertha Powell, Walter S. Baldwin, Jack Mower, Frank Mayo, Thomas W. Ross, Frank Milan, Hank Mann, Fred Kelsey, Herbert Heywood, Emory Parnell, Douglas Croft, Elizabeth Valentine, Ludwig Hardt, Hattie Noel, Hermine Sterler",Warner Brothers Pictures,6
The Pride of the Yankees,Samuel Goldwyn Productions,Nominee,1942,128,"Biography,Drama,Romance",7.7,"10,459",NR,Sam Wood,"Gary Cooper, Teresa Wright, Walter Brennan, Dan Duryea, Elsa Janssen, Ludwig Stossel, Virginia Gilmore, Pierre Watkin, Babe Ruth, Ernie S. Adams, Bill Dickey, Harry Harvey, Addison Richards, Robert W. Meusel, Mark Koenig, Bill Stern, Hardie Albright, Edward Fielding, George Lessey, Vaughan Glaser, Douglas Croft, Rip Russell, Frank Faylen, Jack Shea, George McDonald, Gene Collins, David Holt, David Manley, Max Willenz, Jimmy Valentine, Anita Bolster, Robert Winkler, Vinton Haworth, Spencer Charters, Rosina Galli, Billy Roy, John Kellogg, Sarah Padden, Janet Chapman, Eva Dennison, C. Montague Shaw, Jack Stewart, Ted Offenbecker, Fay Thomas, Lane Chandler, Edgar Barrier, George Offerman Jr., Dorothy Vaughan, Patsy O'Byrne, Matt McHugh, Bill Chaney, Veloz & Yolanda, Pat Flaherty, Ray Noble and Orchestra, Mary Gordon, Francis De Sales, Dane Clark, Tom Neal, Lorna Dunn",MGM,6
For Whom the Bell Tolls,Paramount,Nominee,1943,170,"Adventure,Drama,History",6.9,"8,880",G,Sam Wood,"Gary Cooper, Ingrid Bergman, Akim Tamiroff, Katina Paxinou, Arturo de Córdova, Vladimir Sokoloff, Mikhail Rasumny, Fortunio Bonanova, Eric Feldary, Victor Varconi, Joseph Calleia, Alexander Granach, Yvonne De Carlo, Lilo Yarson, Adia Kuznetzoff, Leonid Snegoff, Leo Bulgakov, Duncan Renaldo, George Coulouris, Frank Puglia, Pedro de Cordoba, Michael Visaroff, Konstantin Shayne, Martin Garralaga, Jack Mylong, Jean Del Val, John Mylong, Feodor Chaliapin Jr., Mayo Newhall, Michael Dalmatoff, Antonio Vidal Molina, Robert Tafur, Armand Roland, Luis Roja, Trina Varela, Dick Botiller, Soledad Jiminez, Yakima Canutt, Tito Renaldo, Franco Corsaro, Frank Lackteen, George Sorel, John Bleifer, Harry Cording, William Edmunds, Alberto Morin, Pedro Regas, Manuel Paris, Jose Luis Tortosa, Ernesto Morelli, Manuel López, Maxine Ardell, Marjorie Deanne, Alice Kirby, Marcella Phillips, Lynda Grey, Christopher King, Louise LaPlanche, Charles Bickford, Victor Laplace, Eduardo Ciannelli",MCA Universal Home Video,6
Ninotchka,Metro-Goldwyn-Mayer,Nominee,1939,110,"Comedy,Romance",7.9,"19,988",R,Ernst Lubitsch,"Greta Garbo, Melvyn Douglas, Bela Lugosi, Alexandra Grannach, Sig Rumann, Felix Bressart, Alexander Granach, Gregory Gaye, Richard Carle, Edwin Maxwell, Rolfe Sedan, George Tobias, Dorothy Adams, Jo Gilbert, Lawrence Grant, Charles Judels, Frank Reicher, Edwin Stanley, Peggy Moran, Marek Windheim, Alexander Schoenberg, Mary Forbes, Alexander Schonberg, George Davis, Armand Kaliz, Wolfgang Zilzer, Tamara Shayne, William Irving, Bess Flowers, Elizabeth Williams, Paul Weigel, Harry Semels, Jody Gilbert, Florence Shirley, Ellinor Vanderveer, Sandra Morgan, Emily Cabanne, Symona Boniface, Monya Andre, Kay Stewart, Jenifer Gray, Lucille Pinson",Warner Brothers Pictures,2
Heaven Can Wait,20th Century-Fox,Nominee,1943,112,"Comedy,Drama,Fantasy",7.4,"10,272",G,Ernst Lubitsch,"Don Ameche, Gene Tierney, Charles Coburn, Marjorie Main, Laird Cregar, Spring Byington, Allyn Joslyn, Eugene Pallette, Louis Calhern, Signe Hasso, Helene Reynolds, Aubrey Mather, Tod Andrews, Leonard Carey, Clarence Muse, Dickie Moore, Dick Jones, Trudy Marshall, Florence Bates, Clara Blandick, Anita Bolster, Nino Pipitone, Alfred Hall, Grayce Hampton, Nino Pipitone Jr., Claire Du Brey, Charles Halton, James Flavin, Michael McLean, Scotty Beckett, Doris Merrick, Marlene Mains, Edwin Maxwell, Gerald Oliver Smith, Maureen Roden-Ryan",20th Century Fox,2
Of Mice and Men,Hal Roach (production company),Nominee,1939,106,"Adventure,Drama",7.9,"5,813",NR,Lewis Milestone,"Burgess Meredith, Creighton Chaney, Betty Field, Lon Chaney Jr, Charles Bickford, Lon Chaney, Roman Bohnen, Bob Steele, Noah Beery Jr., Oscar O'Shea, Granville Bates, Leigh Whipper, Leona Roberts, Helen Lynd, Barbara Pepper, Henrietta Kay, Silver Tip Baker, Eddie Dunn, Howard Mitchell, Whitney de Rhan, Baldwin Cooke, Charles Watt, Jack Lawrence, Carl Pitti, John Beach",United Artists,1
The Wizard of Oz,Metro-Goldwyn-Mayer,Nominee,1939,102,"Adventure,Family,Fantasy",8.0,"378,893",G,"King Vidor, Victor Fleming","Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Margaret Hamilton, Billie Burke, Charley Grapewin, Clara Blandick, Pat Walshe, Lee Murray, The Singer Midgets, George Ministeri, Harry Monty, Harlan Briggs, Jerry Maren, Yvonne Moray, Billy Bletcher, Tyler Brooke, Adriana Caselotti, Pinto Colvig, Billy Curtis, Major Doyle, Daisy Earles, Harry Earles, Buddy Ebsen, Charles Irwin, Lois January, Mitchell Lewis, Walter Miller, Frank Packard, Lillian Porter, Jimmy Rosen, Oliver Smith, Terry, Carol Tevis, Bobby Watson, Gus Wayne, Abe Dinovitch, Clarence Swensen, Mickey Carroll, The Munchkins, Meinhardt Raabe, Karl Slover",Warner Brothers Pictures,1
"All This, and Heaven Too",Warner Bros.,Nominee,1940,141,"Drama,Romance",7.5,"4,728",NR,Anatole Litvak,"Bette Davis, Charles Boyer, Jeffrey Lynn, Helen Westley, Barbara O'Neil, Virginia Weidler, Walter Hampden, Harry Davenport, George Coulouris, June Lockhart, Fritz Lieber, Richard Nichols, Sibyl Harris, Janet Beecher, Ann E. Todd, Montagu Love, Fritz Leiber, Henry Daniell, Ian Keith, Ann Todd, Christian Rub, Frank Reicher, Victor Kilian, Edward Fielding, Egon Brecher, Ann Gillis, Mary Anderson, Peggy Stewart, Creighton Hale, Mary Forbes, Georgia Caine, Natalie Moorhead, Claire Du Brey, Virginia Brissac, Cora Sue Collins, Brenda Sue Fowler, Madge Crane, Betty Jane Graham, Betty Jean Hainey, Anne Howard, Marilyn Knowlden",Warner Brothers Pictures,3
The Snake Pit,20th Century-Fox,Nominee,1948,108,"Drama,Mystery",7.6,"7,232",NR,Anatole Litvak,"Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm, Glenn Langan, Helen Craig, Leif Erickson, Beulah Bondi, Lee Patrick, Isabel Jewell, Victoria Horne, Tamara Shayne, Grace Poggi, Howard Freeman, Natalie Schafer, Ruth Donnelly, Katherine Locke, Frank Conroy, Minna Gombell, June Storey, Ann Doran, Damian O'Flynn, Lora Lee Michel, Esther Somers, Jacqueline de Wit, Betsy Blair, Lela Bliss, Virginia Brissac, Queenie Smith, Mae Marsh, Ashley Cowan, Sally Shepherd, Geraldine Garrick, Therese Lyon, Sylvia Andrew, Jeri Jordan, Marie Blake, Ellen Lowe, Minerva Urecal, Barbara Pepper, Jan Clayton, Helen Servis, Celia Lovsky, Lester Sharpe, Mary Treen, Victoria Albright, Dorothy Neumann, Marion Marshall, Grayce Hampton, Syd Saylor",20th Century Fox,3
Decision Before Dawn,Anatole Litvak and Frank McCarthy,Nominee,1951,119,"Drama,War",7.2,"2,596",NR,Anatole Litvak,"Richard Basehart, Oskar Werner, Gary Merrill, Hildegarde Neff, Dominique Blanchar, O.E. Hasse, Wilfried Seyferth, Hans Christian Blech, Helene Thimig, Robert Freytag, George Tyne, Adolph Lodel, Arno Assmann, Loni Heuser, Walter Janssen, Erich Ebert, Ruth Brandt, Liselotte Kirschbaum, Eva Marie Andres, Aguste Hansen-Kleinmichel, Peter Martin Urtel, Otto Friebel, Paul Schwed, Karl Malden, Meta Weber, Henriett Speidel, Ingeborg Luther, Almut Bachmann, Ruth Trumpp, Harold Benedict, Egon Lippert, Gerhard Kittler, Robert Freitag, Rainier Geldern, Klaus Kinski, von Schmidel, Arnulf Schroeder, Bert Brandt, Erik Jelde, Max Herbst, Klaus Krause, Alex Hohenlohe, Jasper Gertzen, Ulrich Volkmar, Hans Mohrhard, Kurt Marquardt, Jochen Diestelmann, Luitpold Kummer, Heinrich Berg, Dieter Wilsing, Elfe Gearhart, Rudolf Heimann, Werner Fuetterer, Lieselotte Steinweg, Elizabeth Millberg, Ulla Best, Katja Jobs, Eva Maria Hoppe, Maria Landrock, Sonja Kosta, Ernst Hoechstaetter, Harald Wolff, Wolfgang Kuhnemann, Walter Ladengast, Gerhard Steinberg, Peter Lühr, Maria Wimmer, Ursula Voss, Clemens Wilmenrod",20th Century Fox,3
Foreign Correspondent,Walter Wanger (production company),Nominee,1940,120,"Action,Romance,Thriller",7.5,"19,657",PG,Alfred Hitchcock,"Joel McCrea, Laraine Day, George Sanders, Herbert Marshall, Edmund Gwenn, Albert Basserman, Robert Benchley, Harry Davenport, Eduardo Ciannelli, Barbara Pepper, Martin Kosleck, Eddie Conrad, Charles Wagenheim, Crauford Kent, Albert Bassermann, Frances Carson, Alexander Granach, Sam Adams, Dorothy Vaughan, Betty Bradley, Mary Young, Jack Rice, Jackie McGee, Henry Blair, Rebecca Bohannen, Marten Lamont, Barry Bernard, Hilda Plowright, Gertrude W. Hoffman, Ted Offenbecker, June Novak, Roy Gordon, Bert White, Thomas Pogue, Jack Voglin, William Stelling, John Meredith, George Cathrey, Leonard Mudie, Holmes Herbert, Frederick Sewall, Emory Parnell, James Finlayson, Hermina Milar, Loulette Sablon, Douglas Gordon, Colin Kenny, Paul Sutton, Robert C. Fischer, Jack Dawson, Ken Christy, Horace B. Carpenter, Thomas Mizer, June Heiden, Terry Kilburn, Hans Von Morhart, George B. French, Otto Hoffman, Charles Halton, John George, Joan Leslie, Paul Irving, Ferris Taylor, Gwendolen Logan, John T. Murray, Harry Depp, Ted Mapes, Meeka Aldrich, Willy Castello, Bill Gavier, Jane Novak, Ian Wolfe, Ernie Stanton, Donald Stuart, Helena Phillips Evans, Herbert Evans, Harry Semels, Frank Benson, Barbara Boudwin, Louis Borell, Gino Corrado, Elspeth Dudgeon, William Yetter Jr., Gwendolyn Logan, Eily Malyon, Bunny Beatty, John Burton, Raymond Severn, George Offerman, Lawrence Osman, Richard Hammond, Joe O'Brien, Billy Bester, Billy Horn, Ronald Brown, Louise Brien, Jack Alfred, George Offerman Jr., E.E. Clive, Alfred Hitchcock, Wheaton Chambers",Warner Brothers Pictures,2
Suspicion,RKO Radio,Nominee,1941,99,"Film-Noir,Mystery,Thriller",7.4,"36,081",NR,Alfred Hitchcock,"Joan Fontaine, Cary Grant, Cedric Hardwicke, Nigel Bruce, Dame May Whitty, Isabel Jeans, Heather Angel, Auriol Lee, Reginald Sheffield, Leo G Carroll, Maureen Roden-Ryan, Carol Curtis Brown, Constance Worth, Violet Shelton, Pax Walker, Leonard Carey, Gertrude W. Hoffman, Kenneth Hunter, Clyde Cook, Faith Brook, Isobel Sedbusk, Reginald Sheffield, Dorothy Lloyd, Rex Evans, Reggie Wetherby, Constance Worth, Edward Fielding, Hilda Plowright, Ben Webster, Gavin Gordon, Nondas Metcalf, Lumsden Hare, Clara Reid, Vernon P. Downing, Billy Bevan, Alec Craig, Aubrey Mather, Elsie Weller",Warner Brothers Pictures,2
The Great Dictator,Charles Chaplin Productions,Nominee,1940,125,"Comedy,Drama,War",8.4,"212,446",G,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell, Billy Gilbert, Maurice Moscovich, Emma Dunn, Grace Hayle, Carter DeHaven Sr., Bernard Gorcey, Paul Weigel, Chester Conklin, Hank Mann, Esther Michelson, Florence Wright, Eddie Gribbon, Rudolph Anders, Eddie Dunn, Nita Pike, Peter George Lynn, Carter DeHaven, Henry Bergman",Criterion Collection,1
